date,u,u-rate,cpi
2001-01-01,1100.1,6.9,96.8
2001-02-01,1120.5,7.0,96.9
2001-03-01,1144.6,7.1,97.1
2001-04-01,1144.7,7.1,97.8
2001-05-01,1130.6,7.0,98.4
2001-06-01,1162.6,7.2,98.4
2001-07-01,1137.7,7.1,98.1
2001-08-01,1163.9,7.2,98.2
2001-09-01,1158.7,7.2,98.4
2001-10-01,1182.9,7.3,98.1
2001-11-01,1209.4,7.5,97.4
2001-12-01,1310.4,8.1,97.7
2002-01-01,1307.9,8.0,98.1
2002-02-01,1296.2,7.9,98.4
2002-03-01,1291.7,7.9,98.8
2002-04-01,1264.8,7.7,99.5
2002-05-01,1281.3,7.8,99.4
2002-06-01,1259.0,7.6,99.6
2002-07-01,1268.6,7.6,100.3
2002-08-01,1235.0,7.4,100.7
2002-09-01,1259.9,7.6,100.8
2002-10-01,1267.4,7.6,101.3
2002-11-01,1256.2,7.5,101.6
2002-12-01,1268.0,7.6,101.5
2003-01-01,1252.8,7.5,102.4
2003-02-01,1257.5,7.5,102.9
2003-03-01,1242.7,7.4,103.0
2003-04-01,1283.6,7.6,102.3
2003-05-01,1324.7,7.8,102.1
2003-06-01,1285.5,7.6,102.3
2003-07-01,1306.1,7.7,102.5
2003-08-01,1328.4,7.8,102.8
2003-09-01,1335.4,7.9,103.0
2003-10-01,1289.6,7.6,102.9
2003-11-01,1267.0,7.4,103.1
2003-12-01,1253.3,7.3,103.6
2004-01-01,1250.2,7.3,103.7
2004-02-01,1248.5,7.3,103.7
2004-03-01,1250.9,7.3,103.7
2004-04-01,1230.9,7.2,104.0
2004-05-01,1207.7,7.1,104.7
2004-06-01,1240.1,7.2,104.8
2004-07-01,1210.7,7.1,104.8
2004-08-01,1201.4,7.0,104.7
2004-09-01,1191.8,6.9,104.8
2004-10-01,1213.8,7.1,105.2
2004-11-01,1240.8,7.2,105.7
2004-12-01,1229.2,7.1,105.8
2005-01-01,1192.1,6.9,105.8
2005-02-01,1207.3,7.0,105.9
2005-03-01,1184.3,6.9,106.2
2005-04-01,1161.0,6.7,106.4
2005-05-01,1208.4,7.0,106.3
2005-06-01,1175.9,6.8,106.6
2005-07-01,1158.5,6.7,106.8
2005-08-01,1162.4,6.7,107.3
2005-09-01,1159.7,6.7,108.3
2005-10-01,1160.8,6.7,108.1
2005-11-01,1096.9,6.3,107.9
2005-12-01,1141.3,6.6,108.0
2006-01-01,1175.6,6.7,108.9
2006-02-01,1146.9,6.6,108.5
2006-03-01,1132.5,6.5,108.6
2006-04-01,1133.4,6.5,109.1
2006-05-01,1094.5,6.2,109.2
2006-06-01,1106.1,6.3,109.1
2006-07-01,1147.5,6.5,109.2
2006-08-01,1149.0,6.5,109.4
2006-09-01,1145.0,6.5,109.0
2006-10-01,1117.8,6.3,109.1
2006-11-01,1153.7,6.5,109.5
2006-12-01,1121.8,6.3,109.9
2007-01-01,1128.5,6.4,110.2
2007-02-01,1112.3,6.3,110.6
2007-03-01,1118.9,6.3,111.2
2007-04-01,1116.9,6.3,111.5
2007-05-01,1093.4,6.2,111.5
2007-06-01,1094.1,6.1,111.3
2007-07-01,1076.1,6.0,111.4
2007-08-01,1068.7,6.0,111.3
2007-09-01,1079.0,6.0,111.7
2007-10-01,1083.7,6.0,111.9
2007-11-01,1104.3,6.1,112.2
2007-12-01,1110.0,6.2,112.6
2008-01-01,1107.2,6.1,112.4
2008-02-01,1106.0,6.1,112.6
2008-03-01,1113.6,6.2,112.8
2008-04-01,1117.7,6.2,113.3
2008-05-01,1116.3,6.2,114.1
2008-06-01,1113.4,6.1,114.9
2008-07-01,1113.7,6.2,115.4
2008-08-01,1116.4,6.2,115.4
2008-09-01,1150.9,6.3,115.5
2008-10-01,1171.1,6.4,114.7
2008-11-01,1219.2,6.7,114.3
2008-12-01,1278.4,7.0,113.9
2009-01-01,1371.7,7.5,113.7
2009-02-01,1479.0,8.1,114.1
